번호,제목,URL,날짜,요약,키워드
1,"‘국가대표AI’ 선발전, 10팀으로 압축...네이버·LGAI연구원 등 통과",http://v.daum.net/v/20250725192903085,2025.07.28,‘국가대표 인공지능(AI)’ 타이틀을 노리는 10개 팀이 1차 관문을 통과했다.로이터=연합뉴스과기정통부는 25일 ‘독자 AI 파운데이션 모델’(소버린 AI) 개발 정예 팀 선발 공모에 접수한 15개 팀 가운데 10개 팀이 서면 평가를 통과했다고 밝혔다. 네이버클라우드·모티프테크놀로지스·업스테이지·SK텔레콤·NC AI·LG AI연구원·카카오·KT·코난테크놀로...,"AI, 인공지능"
2,"오픈AI가 찾는 인재는? ""AI전문가는 필요 없다…포커선수도 지원""",http://v.daum.net/v/20250727090635283,2025.07.28,"""우리는 동기를 봅니다. AI 전문가인지 여부는 중요하지 않아요. 물리학 전공자들이 AI 연구자로 들어오기도 했죠. 전직 프로 포커 선수도 있어요.""생성형 인공지능(AI) 서비스 챗GPT를 운영하는 오픈AI가 자사의 인재상과 채용 철학을 공개했다. 오픈AI의 채용 책임자인 호아킨 키뇨네로 칸델라는 지난 25일(한국시간) 대담 형식의 온라인 포럼에 참석해 위...","AI, 인공지능, 챗GPT"
3,"다올티에스, EDB PostgresAI와 차세대AI구축 데이터 플랫폼 혁신 본격화",http://v.daum.net/v/20250728081303712,2025.07.28,"홍정화 다올티에스 대표(왼족)와 김희배 EDB 한국지사 지사장이 AI 기반 데이터 혁신을 위한 MOU를 체결했다.AI 플랫폼 전문기업 다올티에스(대표 홍정화)는 지난 25일 글로벌 오픈소스 데이터베이스 기업 EDB(EnterpriseDB)와 전략적 업무협약(MOU)을 체결하고, 오픈소스 기반의 차세대 AI 및 분석 데이터 플랫폼 혁신에 본격 나선다고 밝혔다...",AI
4,"사회문제 해결하는AI찾는다···카카오임팩트, ‘돕는AI컨퍼런스 2025’ 참가자 모집",http://v.daum.net/v/20250728110307128,2025.07.28,돕는 AI 컨퍼런스 2025. <카카오임팩트>카카오임팩트가 AI가 사회문제 해결에 실질적으로 기여한 사례를 공유하는 ‘돕는 AI 컨퍼런스 2025’ 참가자를 모집한다고 28일 밝혔다.‘돕는 AI 컨퍼런스 2025’는 카카오임팩트가 주최하고 대한상공회의소에서 주관하는 국내 최초 임팩트 기술 컨퍼런스로 오는 8월 25일부터 이틀간 코엑스 Hall C에서 열린다...,AI
5,"""AI가 'AI분석결과' 평가""…코어라인소프트, 美특허 완료",http://v.daum.net/v/20250728093958997,2025.07.28,[서울=뉴시스] 의료 인공지능(AI) 전문기업 코어라인소프트는 AI 기술 신뢰도 향상을 위한 핵심 기술에 대한 미국 특허 등록을 완료했다고 28일 밝혔다. (사진=코어라인소프트 제공) 2025.07.28. photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]송종호 기자 = 의료 인공지능(AI) 전문기업 코어라인소프트가 AI 기술 신뢰도 향상을...,"AI, 인공지능, 신경망"
6,"스타씨드 '퓰리처AI', SKT 'AI스타트업 엑셀러레이터 3기' 선정",http://v.daum.net/v/20250728092635306,2025.07.28,글로벌 PR 자동화 플랫폼 '퓰리처 AI'의 개발 운영사 스타씨드(대표 손보미)가 SK텔레콤의 'AI 스타트업 엑셀러레이터 3기' 참여 기업으로 최종 선정되며 SK텔레콤 및 계열사와의 기술 협력과 사업 연계 기회를 확대해 나갈 계획이라고 28일 밝혔다.이번 프로그램에는 총 152개 국내 AI 스타트업이 지원해 약 10대 1의 경쟁률을 거쳐 엄정한 심사 끝에...,"AI, 자동화"
7,"LG유플러스, 오픈AI와 손잡고 'AgenticAI컨택센터' 개발",http://v.daum.net/v/20250728093312680,2025.07.28,"오픈AI 싱가포르 오피스에서 열린 협약식에 안형균 LG유플러스 기업AI사업그룹장(왼쪽)과 앤디 브라운 오픈AI 아시아태평양 지역 비즈니스 총괄이 참석해 기념촬영을 하는 모습. LG유플러스 제공LG유플러스가 글로벌 인공지능(AI) 선도 기업 오픈AI(OpenAI)와 협력해 Agentic AI 컨택센터(AI Contact Center, 이하 AICC)를 개발한...","AI, 인공지능, 자동화"
8,"'국대AI도전' 크래프톤, 추론 특화AI모델 3종 공개",http://v.daum.net/v/20250728092126029,2025.07.28,[서울경제]크래프톤(259960)이SK텔레콤(017670)과 함께 개발한 70억 개 파라미터(매개변수) 규모의 추론 특화 인공지능(AI) 모델 3종을 글로벌 오픈소스 플랫폼 ‘허깅페이스’에 공개했다고 28일 밝혔다.이들 모델은 수학 문제 해결과 코드 개발에 특화된 경량 AI 모델이다. 크래프톤은 이 모델을 기반으로 한 게임 중심의 AI 기술에 확장할 예정이...,"AI, 인공지능, 딥러닝"
9,"코난테크, 국내 첫 의료 생성형AI플랫폼 '완수'…국가대표AI선발전 '청신호'",http://v.daum.net/v/20250728101655748,2025.07.28,(지디넷코리아=장유미 기자)정부가 약 2천억원을 들여 추진하는 '국가대표 AI' 선발전에서 첫 관문을 넘은 코난테크놀로지가국내 첫 거대언어모델(LLM) 기반 의료 플랫폼 개발을 성공적으로 완수하며 기술력을 입증했다.코난테크놀로지는 지난15일 한림대학교성심병원 일송문화홀에서 한림대학교의료원과 생성형 인공지능(AI) 플랫폼 'HAI(Hallym Artifici...,"AI, 인공지능"
10,"“중국AI테크 투자”···한투운용, ACE 차이나AI빅테크TOP2+액티브 신규 상장",http://v.daum.net/v/20250728111513717,2025.07.28,한국투자신탁운용은 오는 29일 ‘ACE 차이나AI빅테크TOP2+액티브’ 상장지수펀드(ETF)를 신규 상장한다고 28일 밝혔다.ACE 차이나AI빅테크TOP2+액티브 ETF는 중국의 인공지능(AI) 기술 관련 핵심 기업에 투자하는 상품이다.포트폴리오의 가장 큰 특징은 AI 관련 하드웨어와 소프트웨어 분야 대표기업을 각 25% 내외로 집중 투자한다는 점이다.상장...,"AI, 인공지능"
