video_id,title,published,viewCount,likeCount,dislikeCount
-kkw86b9XBU,지금 당신에게 들려주고 싶은 그 노래! | 8090가요 | 가요20 | Retro Korean Pop,2025-07-16,1413,28,0
FYP2r6rQteY,"여름밤 라디오, 1시간 반복 | 인기곡 | 한국시티팝 | Korean City Pop",2025-07-15,1282,28,0
xCgXQqmvryU,"지친 하루 끝에, 이 노래면 충분해요! | 한국시티팝 | 8090가요 | Korean City Pop",2025-07-14,2716,65,0
NDsKo5EpZ4I,"별빛 다리 위에서, 1시간 반복 | 인기곡 | 한국시티팝 | Korean City Pop",2025-07-13,4192,107,0
QiIADQmh834,요즘 이런 노래 잘 없죠? 최고의 감성플레이리스트 | 한국시티팝 | 8090가요 | Korean City Pop,2025-07-11,7497,109,0
e2j-srF0phE,"수능 금지곡! 딱! 한번 들었는데, 머리속에 계속 맴도네! | 90,00 가요 | 가요20 | Retro Korean Pop",2025-07-09,4643,62,0
j_sl4Jdq1uc,"듣기 시작하면, 멈출 수 없는 노래! 감성플레이리스트 | 한국시티팝 | Korean City Pop",2025-07-07,12928,214,0
ldRDnhk5-Fs,"8090 가요, 창고 방출중!",2025-07-04,477,2,0
ZKe_ErvenLI,"눈물 나게 좋다, 미쳤다 진짜! 감성플레이리스트 | 시티팝 | 8090가요 | Korean City Pop",2025-07-04,91810,1753,0
aGtKrDryBlM,"듣자마자, 뭐지? 하신분~",2025-07-03,453,4,0
K9POtrZpU2I,산책할 때 최고의 음악! 시티팝! 시간 가는 줄 몰라요~,2025-07-03,446,0,0
3sze68YqLtI,"8090가요, 최고의 감성 음악! 지금 전곡감상해 보세요",2025-07-03,379,2,0
nq4CF0eurmA,최고의 감성 노래 모음! 한국 시티팝!,2025-07-03,378,0,0
K0vI9BvyTB0,감성 쩌는 최고의 보이스!,2025-07-03,673,3,0
5rKe9qgDLlo,이 노래가 땡기신다면 제목을 클릭하세요!,2025-07-02,326,1,0
tQf1sMzmBss,"메마른 내 마음을 적셔줄, 단비 같은 노래 | 한국 시티팝 | 8090시티팝 | 8090가요 | Korean City Pop",2025-07-02,29196,472,0
ke9ronXLu0w,메말라서 부서질 거 같은 내 마음에 단비 같은 노래!,2025-07-02,526,3,0
bnHSRHrP4DY,"워킹할 때, 운동할 때, 최고! 듣고 있으면 힘들지 않아요!",2025-07-02,268,0,0
Ybdnk9cwhDo,마음을 촉촉히 적셔줄 그 감성 음악,2025-07-02,457,4,0
r18AOdLu2qY,최고의 감성 노래 모음~ 뻑~ 가요~,2025-07-02,517,4,0
jAIQp95JE7M,첫곡부터 감성 보이스 쩔어! 진짜가 나타났다! | 8090 한국 가요,2025-07-02,1384,17,0
ajfHG_5Nims,메마른 내 마음에 단비 같은 노래! 한국 시티팝!,2025-07-02,423,1,0
UsUWjodyQFk,신나는 음악 다 모아놨어요! 전곡 감상해 보세요,2025-07-01,25,1,0
bnGPXWZBjig,신나는 음악! 8090 가요!,2025-07-01,276,3,0
9xoi49H4FxY,"이 노래가 궁금하시다면, 전곡 확인하러 ㄱㄱ",2025-07-01,320,2,0
S0gLPA72aNg,이거 옛날 노래 맞어? 아닌데??????,2025-07-01,1302,4,0
K09xVDZFKf0,이 노래가 궁금하다면?,2025-06-30,142,0,0
y1zcJP6X-UE,"8090가요, 신나게 들을 수 있는 노래 선곡!!! 한 곡도 스킵 못해~ | 8090가요 | 가요TOP20 | 8090s Korean  Pop",2025-06-30,1057,24,0
G83qxNzr8k0,첫 곡부터 터지는 노래! 대박~!,2025-06-30,248,0,0
U0Jo1C3Q_xM,너무 신나! 8090 좋은데??,2025-06-30,240,0,0
8oG25d5K5k8,쇼츠로 보기엔 못참겠죠? 전곡감상 ㄱㄱ,2025-06-30,466,1,0
32MiSgVwkf0,"이런 노래가 있었는지, 궁금하시다면 ㄱㄱ",2025-06-30,1315,3,0
0gewS84sr84,제목을 괜히 가요톱20으로 한게 아니라는!,2025-06-30,126,0,0
BloXL3se3Hw,매력있네..이노래 땡겨~,2025-06-30,273,0,0
u_VMU2Dqw58,"노래를 듣고, 기분이 업~ 되셨다면, 롱버전을 확인해 보세요.",2025-06-30,10,0,0
ca7MfRrbiTU,"몸이 움찔했다면, 롱버전 확인하시는게 몸에 좋아요~ㅎ",2025-06-30,159,0,0
5GusYGruofI,"옛날 노래인데, 들을수록 빠져드네 ㅠ.ㅜ",2025-06-30,994,10,0
F_oZ4wGv8-U,뭐지 이노래? 이런 노래가 있었어? 지금 바로 영상탭 확인!,2025-06-30,16,0,0
1DuHS188DYM,최고의 힐링 음악이 다 모여있었네. 신난다~ #8090가요,2025-06-30,12,0,0
v1MW1hPxKNk,뭐야 이 노래? 죽이잖아! #8090가요 #신나는노래,2025-06-30,19,0,0
klDUZNASKJA,기분 좋아지는 노래~ 들으러 오세요~ #8090가요 #한국가요,2025-06-30,19,0,0
Xbzwgc5AhMU,"쇼츠가 아쉬우셨다면, 롱버전으로 전곡을 감상해 보세요. #8090가요 #한국가요",2025-06-30,11,0,0
hrdktMkT--w,8090 신나는 노래 다 모아놨어! 어서와~,2025-06-30,262,2,0
GXP_FYKD7ck,편안한 여름을 나는 두번째 음악! | 카페에서 듣기 좋은 음악 | 카페음악 | Summer Season Special: Jazz,2025-06-27,242,6,0
OiwRa-OmlSQ,이런 감성 오랜만이죠? 전체곡 감상은 영상탭에서 확인하세요.,2025-06-26,266,0,0
um7RnkPutaI,"듣는 순간, 그때로 돌아가는 추억의 멜로디 | 여가수 모음집 | 8090 한국 가요 | 가요20 | 8090s Korean pop music",2025-06-26,662,6,0
3hzEdL1t3Jw,이노래 어떠케해~~~~ 너무 좋아!,2025-06-26,459,2,0
-h3dsxu-jpc,아니 이런 노래가 8090? 쥑이는 감성!,2025-06-26,1490,0,0
ovCic_Wt1YY,지금 최신곡 방출중! 확인하세요!,2025-06-26,276,0,0
_8kENN0jULc,들어본 멜로디~ 롱버전으로 확인해보세요!,2025-06-26,563,5,0
_Jo-xozF83w,"노래가 짧아서 아쉽다면, 바로 클릭!",2025-06-26,586,1,0
J1NQ4LxSAss,8090 노래! 들어본 멜로디라면...길게 들어보세요~,2025-06-26,649,0,0
eCWrIs7WVqc,감성 노래 여기에 다 있네!!!! 지금 바로 확인해보세요.,2025-06-26,1607,3,0
bW8KLgB0Sgw,"노래가 너무 좋다면, 전체곡 감상 ㄱㄱ~",2025-06-26,1019,0,0
E9pXLOjST8o,8090 레트로 감성 시티팝! 전체곡으로 감상해보세요.,2025-06-24,361,1,0
tBcdtQa81pw,"익숙한 멜로디의 감성과 감동, 전체곡으로 들어보세요.",2025-06-24,236,0,0
CdZAIe3Oelo,한국 레트로 시티팝! 지금 바로 클릭! 8090 노래,2025-06-24,371,0,0
DpxZzuUW0D4,응답하라!! 잊고 지낸 나의 감성! 지금 바로 들어보세요 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,50,0,0
faAb6nl63M8,다시듣는! 그 시절 감성! [여가수 모음집] | 가요TOP20 | 80~90년대 감성 한국 가요 모음 | Korean Ballads 80s90s,2025-06-23,663,9,0
e9KqadaBDxE,계속 듣고 싶다면~ 지금 바로 클릭!! 지금 바로 들어보세요 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,360,0,0
her-CVw2n54,"어! 내 취향이다! 생각되면~!, 지금 바로 클릭! | 8090 한국 가요 | 80s–90s Korean pop music",2025-06-23,189,0,0
5ELK8AKxUWs,[여가수 모음집] 그날의 기억을 떠올리게 하는 노래 모음집! 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music,2025-06-23,130,0,0
